Column,Row,Year,Total,Abbreviation
5.5,6,2011,0.074,LA
5.5,6,2012,0.071,LA
5.5,6,2013,0.053,LA
5.5,6,2014,0.063,LA
5.5,6,2015,0.064,LA
5.5,6,2016,0.053,LA
5.5,6,2017,0.036,LA
6,3,2002,0.031,IL
6,3,2003,0.023,IL
6,3,2004,0.026,IL
6,3,2005,0.024,IL
6,3,2006,0.023,IL
6,3,2007,0.022,IL
6,3,2008,0.025,IL
6,3,2009,0.034,IL
6,3,2010,0.04,IL
6,3,2011,0.035,IL
6,3,2012,0.028,IL
6,3,2013,0.032,IL
6,3,2014,0.036,IL
6,3,2015,0.032,IL
6,3,2016,0.024,IL
6,3,2017,0.025,IL
6,5,2002,0.052,AR
6,5,2003,0.036,AR
6,5,2004,0.027,AR
6,5,2005,0.036,AR
6,5,2006,0.037,AR
6,5,2007,0.025,AR
6,5,2008,0.037,AR
6,5,2009,0.074,AR
6,5,2010,0.079,AR
6,5,2011,0.066,AR
6,5,2012,0.069,AR
6,5,2013,0.068,AR
6,5,2014,0.064,AR
6,5,2015,0.031,AR
6,5,2016,0.026,AR
6,5,2017,0.018,AR
6.5,4,2002,0.046,KY
6.5,4,2003,0.033,KY
6.5,4,2004,0.039,KY
6.5,4,2005,0.031,KY
6.5,4,2006,0.022,KY
6.5,4,2007,0.03,KY
6.5,4,2008,0.041,KY
6.5,4,2009,0.072,KY
6.5,4,2010,0.081,KY
6.5,4,2011,0.058,KY
6.5,4,2012,0.052,KY
6.5,4,2013,0.043,KY
6.5,4,2014,0.049,KY
6.5,4,2015,0.035,KY
6.5,4,2016,0.048,KY
6.5,4,2017,0.044,KY
6.5,6,2002,0.053,MS
6.5,6,2003,0.04,MS
6.5,6,2004,0.026,MS
6.5,6,2005,0.035,MS
6.5,6,2006,0.029,MS
6.5,6,2007,0.045,MS
6.5,6,2008,0.06,MS
6.5,6,2009,0.073,MS
6.5,6,2010,0.095,MS
6.5,6,2011,0.085,MS
6.5,6,2012,0.064,MS
6.5,6,2013,0.061,MS
6.5,6,2014,0.062,MS
6.5,6,2015,0.062,MS
6.5,6,2016,0.048,MS
6.5,6,2017,0.041,MS
7,3,2002,0.03,IN
7,3,2003,0.026,IN
7,3,2004,0.02,IN
7,3,2005,0.021,IN
7,3,2006,0.019,IN
7,3,2007,0.02,IN
7,3,2008,0.035,IN
7,3,2009,0.065,IN
7,3,2010,0.078,IN
7,3,2011,0.062,IN
7,3,2012,0.052,IN
7,3,2013,0.062,IN
7,3,2014,0.061,IN
7,3,2015,0.039,IN
7,3,2016,0.037,IN
7,3,2017,0.03,IN
7,5,2002,0.029,TN
7,5,2003,0.033,TN
7,5,2004,0.027,TN
7,5,2005,0.034,TN
7,5,2006,0.03,TN
7,5,2007,0.024,TN
7,5,2008,0.058,TN
7,5,2009,0.069,TN
7,5,2010,0.083,TN
7,5,2011,0.069,TN
7,5,2012,0.055,TN
7,5,2013,0.074,TN
7,5,2014,0.068,TN
7,5,2015,0.047,TN
7,5,2016,0.039,TN
7,5,2017,0.041,TN
7.5,2,2002,0.031,MI
7.5,2,2003,0.033,MI
7.5,2,2004,0.031,MI
7.5,2,2005,0.031,MI
7.5,2,2006,0.025,MI
7.5,2,2007,0.022,MI
7.5,2,2008,0.028,MI
7.5,2,2009,0.043,MI
7.5,2,2010,0.055,MI
7.5,2,2011,0.046,MI
7.5,2,2012,0.037,MI
7.5,2,2013,0.038,MI
7.5,2,2014,0.038,MI
7.5,2,2015,0.037,MI
7.5,2,2016,0.02,MI
7.5,2,2017,0.021,MI
7.5,4,2002,0.056,WV
7.5,4,2003,0.042,WV
7.5,4,2004,0.042,WV
7.5,4,2005,0.043,WV
7.5,4,2006,0.03,WV
7.5,4,2007,0.033,WV
7.5,4,2008,0.053,WV
7.5,4,2009,0.078,WV
7.5,4,2010,0.093,WV
7.5,4,2011,0.074,WV
7.5,4,2012,0.057,WV
7.5,4,2013,0.049,WV
7.5,4,2014,0.059,WV
7.5,4,2015,0.034,WV
7.5,4,2016,0.022,WV
7.5,4,2017,0.021,WV
7.5,6,2002,0.034,AL
7.5,6,2003,0.027,AL
7.5,6,2004,0.046,AL
7.5,6,2005,0.031,AL
7.5,6,2006,0.036,AL
7.5,6,2007,0.033,AL
7.5,6,2008,0.042,AL
7.5,6,2009,0.075,AL
7.5,6,2010,0.093,AL
7.5,6,2011,0.065,AL
7.5,6,2012,0.06,AL
7.5,6,2013,0.068,AL
7.5,6,2014,0.049,AL
7.5,6,2015,0.056,AL
7.5,6,2016,0.035,AL
7.5,6,2017,0.034,AL
8,3,2002,0.038,OH
8,3,2003,0.034,OH
8,3,2004,0.038,OH
8,3,2005,0.033,OH
8,3,2006,0.027,OH
8,3,2007,0.023,OH
8,3,2008,0.023,OH
8,3,2009,0.043,OH
8,3,2010,0.054,OH
8,3,2011,0.047,OH
8,3,2012,0.045,OH
8,3,2013,0.041,OH
8,3,2014,0.034,OH
8,3,2015,0.029,OH
8,3,2016,0.023,OH
8,3,2017,0.017,OH
8,5,2002,0.03,VA
8,5,2003,0.028,VA
8,5,2004,0.024,VA
8,5,2005,0.034,VA
8,5,2006,0.028,VA
8,5,2007,0.026,VA
8,5,2008,0.039,VA
8,5,2009,0.059,VA
8,5,2010,0.079,VA
8,5,2011,0.071,VA
8,5,2012,0.068,VA
8,5,2013,0.062,VA
8,5,2014,0.048,VA
8,5,2015,0.062,VA
8,5,2016,0.043,VA
8,5,2017,0.036,VA
8,7,2002,0.028,GA
8,7,2003,0.029,GA
8,7,2004,0.019,GA
8,7,2005,0.032,GA
8,7,2006,0.026,GA
8,7,2007,0.032,GA
8,7,2008,0.036,GA
8,7,2009,0.072,GA
8,7,2010,0.085,GA
8,7,2011,0.096,GA
8,7,2012,0.064,GA
8,7,2013,0.048,GA
8,7,2014,0.055,GA
8,7,2015,0.044,GA
8,7,2016,0.039,GA
8,7,2017,0.032,GA
8.5,4,2002,0.026,MD
8.5,4,2003,0.021,MD
8.5,4,2004,0.019,MD
8.5,4,2005,0.021,MD
8.5,4,2006,0.017,MD
8.5,4,2007,0.021,MD
8.5,4,2008,0.028,MD
8.5,4,2009,0.052,MD
8.5,4,2010,0.059,MD
8.5,4,2011,0.051,MD
8.5,4,2012,0.05,MD
8.5,4,2013,0.049,MD
8.5,4,2014,0.04,MD
8.5,4,2015,0.022,MD
8.5,4,2016,0.021,MD
8.5,4,2017,0.027,MD
8.5,6,2002,0.033,SC
8.5,6,2003,0.04,SC
8.5,6,2004,0.04,SC
8.5,6,2005,0.032,SC
8.5,6,2006,0.031,SC
8.5,6,2007,0.04,SC
8.5,6,2008,0.059,SC
8.5,6,2009,0.056,SC
8.5,6,2010,0.074,SC
8.5,6,2011,0.073,SC
8.5,6,2012,0.054,SC
8.5,6,2013,0.058,SC
8.5,6,2014,0.045,SC
8.5,6,2015,0.047,SC
8.5,6,2016,0.05,SC
8.5,6,2017,0.038,SC
8.5,8,2002,0.038,FL
8.5,8,2003,0.034,FL
8.5,8,2004,0.036,FL
8.5,8,2005,0.027,FL
8.5,8,2006,0.021,FL
8.5,8,2007,0.027,FL
8.5,8,2008,0.031,FL
8.5,8,2009,0.057,FL
8.5,8,2010,0.067,FL
8.5,8,2011,0.063,FL
8.5,8,2012,0.051,FL
8.5,8,2013,0.045,FL
8.5,8,2014,0.042,FL
8.5,8,2015,0.038,FL
8.5,8,2016,0.029,FL
8.5,8,2017,0.026,FL
9,3,2002,0.034,PA
9,3,2003,0.028,PA
9,3,2004,0.027,PA
9,3,2005,0.029,PA
9,3,2006,0.028,PA
9,3,2007,0.02,PA
9,3,2008,0.025,PA
9,3,2009,0.047,PA
9,3,2010,0.063,PA
9,3,2011,0.057,PA
9,3,2012,0.057,PA
9,3,2013,0.054,PA
9,3,2014,0.045,PA
9,3,2015,0.043,PA
9,3,2016,0.041,PA
9,3,2017,0.031,PA
9,5,2002,0.031,NC
9,5,2003,0.034,NC
9,5,2004,0.026,NC
9,5,2005,0.027,NC
9,5,2006,0.023,NC
9,5,2007,0.021,NC
9,5,2008,0.035,NC
9,5,2009,0.064,NC
9,5,2010,0.079,NC
9,5,2011,0.068,NC
9,5,2012,0.062,NC
9,5,2013,0.058,NC
9,5,2014,0.051,NC
9,5,2015,0.051,NC
9,5,2016,0.036,NC
9,5,2017,0.033,NC
9.5,2,2002,0.034,NY
9.5,2,2003,0.04,NY
9.5,2,2004,0.032,NY
9.5,2,2005,0.023,NY
9.5,2,2006,0.016,NY
9.5,2,2007,0.022,NY
9.5,2,2008,0.024,NY
9.5,2,2009,0.046,NY
9.5,2,2010,0.064,NY
9.5,2,2011,0.051,NY
9.5,2,2012,0.055,NY
9.5,2,2013,0.043,NY
9.5,2,2014,0.035,NY
9.5,2,2015,0.024,NY
9.5,2,2016,0.02,NY
9.5,2,2017,0.018,NY
9.5,4,2002,0.025,DE
9.5,4,2003,0.024,DE
9.5,4,2004,0.02,DE
9.5,4,2005,0.018,DE
9.5,4,2006,0.026,DE
9.5,4,2007,0.021,DE
9.5,4,2008,0.027,DE
9.5,4,2009,0.048,DE
9.5,4,2010,0.069,DE
9.5,4,2011,0.052,DE
9.5,4,2012,0.05,DE
9.5,4,2013,0.054,DE
9.5,4,2014,0.04,DE
9.5,4,2015,0.026,DE
9.5,4,2016,0.023,DE
9.5,4,2017,0.029,DE
10,1,2002,0.021,VT
10,1,2003,0.029,VT
10,1,2004,0.028,VT
10,1,2005,0.016,VT
10,1,2006,0.015,VT
10,1,2007,0.022,VT
10,1,2008,0.022,VT
10,1,2009,0.028,VT
10,1,2010,0.033,VT
10,1,2011,0.022,VT
10,1,2012,0.027,VT
10,1,2013,0.038,VT
10,1,2014,0.028,VT
10,1,2015,0.019,VT
10,1,2016,0.025,VT
10,1,2017,0.018,VT
10,3,2002,0.038,NJ
10,3,2003,0.041,NJ
10,3,2004,0.032,NJ
10,3,2005,0.021,NJ
10,3,2006,0.02,NJ
10,3,2007,0.017,NJ
10,3,2008,0.03,NJ
10,3,2009,0.058,NJ
10,3,2010,0.07,NJ
10,3,2011,0.055,NJ
10,3,2012,0.058,NJ
10,3,2013,0.048,NJ
10,3,2014,0.034,NJ
10,3,2015,0.028,NJ
10,3,2016,0.026,NJ
10,3,2017,0.015,NJ
10.5,2,2002,0.023,MA
10.5,2,2003,0.022,MA
10.5,2,2004,0.026,MA
10.5,2,2005,0.019,MA
10.5,2,2006,0.022,MA
10.5,2,2007,0.04,MA
10.5,2,2008,0.023,MA
10.5,2,2009,0.039,MA
10.5,2,2010,0.03,MA
10.5,2,2011,0.039,MA
10.5,2,2012,0.04,MA
10.5,2,2013,0.034,MA
10.5,2,2014,0.034,MA
10.5,2,2015,0.029,MA
10.5,2,2016,0.018,MA
10.5,2,2017,0.025,MA
11,1,2002,0.026,NH
11,1,2003,0.019,NH
11,1,2004,0.024,NH
11,1,2005,0.029,NH
11,1,2006,0.022,NH
11,1,2007,0.024,NH
11,1,2008,0.029,NH
11,1,2009,0.041,NH
11,1,2010,0.053,NH
11,1,2011,0.038,NH
11,1,2012,0.035,NH
11,1,2013,0.03,NH
11,1,2014,0.039,NH
11,1,2015,0.041,NH
11,1,2016,0.038,NH
11,1,2017,0.021,NH
11,3,2002,0.017,CT
11,3,2003,0.02,CT
11,3,2004,0.018,CT
11,3,2005,0.01,CT
11,3,2006,0.014,CT
11,3,2007,0.015,CT
11,3,2008,0.018,CT
11,3,2009,0.029,CT
11,3,2010,0.04,CT
11,3,2011,0.029,CT
11,3,2012,0.027,CT
11,3,2013,0.026,CT
11,3,2014,0.022,CT
11,3,2015,0.029,CT
11,3,2016,0.019,CT
11,3,2017,0.015,CT
11.5,0,2002,0.028,ME
11.5,0,2003,0.023,ME
11.5,0,2004,0.023,ME
11.5,0,2005,0.02,ME
11.5,0,2006,0.023,ME
11.5,0,2007,0.023,ME
11.5,0,2008,0.018,ME
11.5,0,2009,0.027,ME
11.5,0,2010,0.038,ME
11.5,0,2011,0.037,ME
11.5,0,2012,0.029,ME
11.5,0,2013,0.033,ME
11.5,0,2014,0.031,ME
11.5,0,2015,0.027,ME
11.5,0,2016,0.027,ME
11.5,0,2017,0.027,ME
11.5,2,2002,0.027,RI
11.5,2,2003,0.023,RI
11.5,2,2004,0.026,RI
11.5,2,2005,0.026,RI
11.5,2,2006,0.022,RI
11.5,2,2007,0.022,RI
11.5,2,2008,0.02,RI
11.5,2,2009,0.039,RI
11.5,2,2010,0.048,RI
11.5,2,2011,0.038,RI
11.5,2,2012,0.034,RI
11.5,2,2013,0.042,RI
11.5,2,2014,0.036,RI
11.5,2,2015,0.015,RI
11.5,2,2016,0.027,RI
11.5,2,2017,0.014,RI
12,5,2002,0.034,DC
12,5,2003,0.034,DC
12,5,2004,0.028,DC
12,5,2005,0.018,DC
12,5,2006,0.03,DC
12,5,2007,0.028,DC
12,5,2008,0.027,DC
12,5,2009,0.041,DC
12,5,2010,0.052,DC
12,5,2011,0.043,DC
12,5,2012,0.049,DC
12,5,2013,0.037,DC
12,5,2014,0.028,DC
12,5,2015,0.03,DC
12,5,2016,0.024,DC
12,5,2017,0.03,DC
